"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\core\responsive\responsive_icons.dart", "Dart", 22, 11, 3, 36
"d:\Flutter\old_version\lib\core\services\services.dart", "Dart", 39, 1, 9, 49
"d:\Flutter\old_version\lib\core\shared\custom_appbar_title.dart", "Dart", 35, 0, 2, 37
"d:\Flutter\old_version\lib\core\shared\custom_buttton_global.dart", "Dart", 39, 0, 2, 41
"d:\Flutter\old_version\lib\core\shared\custom_divider.dart", "Dart", 8, 0, 2, 10
"d:\Flutter\old_version\lib\core\shared\custom_drop_down_laptop_details.dart", "Dart", 211, 1, 7, 219
"d:\Flutter\old_version\lib\core\shared\custom_drop_down_search.dart", "Dart", 103, 2, 6, 111
"d:\Flutter\old_version\lib\core\shared\custom_drop_down_search_items.dart", "Dart", 182, 1, 8, 191
"d:\Flutter\old_version\lib\core\shared\custom_drop_down_search_users.dart", "Dart", 171, 1, 7, 179
"d:\Flutter\old_version\lib\core\shared\custom_floating_button.dart", "Dart", 21, 0, 3, 24
"d:\Flutter\old_version\lib\core\shared\custom_formfield_global.dart", "Dart", 109, 2, 4, 115
"d:\Flutter\old_version\lib\core\shared\custom_header_screen.dart", "Dart", 67, 1, 3, 71
"d:\Flutter\old_version\lib\core\shared\custom_search_widget.dart", "Dart", 82, 1, 4, 87
"d:\Flutter\old_version\lib\core\shared\custom_sized_box.dart", "Dart", 7, 0, 2, 9
"d:\Flutter\old_version\lib\core\shared\custom_table_header_global.dart", "Dart", 44, 1, 3, 48
"d:\Flutter\old_version\lib\core\shared\custom_table_headers.dart", "Dart", 16, 0, 2, 18
"d:\Flutter\old_version\lib\core\shared\custom_table_widget.dart", "Dart", 42, 3, 2, 47
"d:\Flutter\old_version\lib\data\model\box_model.dart", "Dart", 30, 0, 3, 33
"d:\Flutter\old_version\lib\data\model\cart_model.dart", "Dart", 150, 0, 4, 154
"d:\Flutter\old_version\lib\data\model\categories_model.dart", "Dart", 14, 0, 5, 19
"d:\Flutter\old_version\lib\data\model\creditor_debtor_details_model.dart", "Dart", 24, 0, 3, 27
"d:\Flutter\old_version\lib\data\model\debtors_model.dart", "Dart", 26, 0, 5, 31
"d:\Flutter\old_version\lib\data\model\export_model.dart", "Dart", 47, 0, 2, 49
"d:\Flutter\old_version\lib\data\model\import_model.dart", "Dart", 33, 0, 3, 36
"d:\Flutter\old_version\lib\data\model\invoice_model.dart", "Dart", 53, 0, 3, 56
"d:\Flutter\old_version\lib\data\model\items_model.dart", "Dart", 211, 7, 7, 225
