"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter\old_version\lib\controller\reports\daily_reports\daily_reports_controller.dart", "Dart", 8, 26, -3, 31
"d:\Flutter\old_version\lib\controller\reports\reports_controller.dart", "Dart", 0, -383, -29, -412
"d:\Flutter\old_version\lib\view\reports\components\drop_down_accounts_search.dart", "Dart", -2, 0, 0, -2
"d:\Flutter\old_version\lib\view\reports\daily_reports\bank\bank_table.dart", "Dart", -2, 0, 0, -2
"d:\Flutter\old_version\lib\view\reports\daily_reports\box\box_table.dart", "Dart", -2, 0, 0, -2
"d:\Flutter\old_version\lib\view\reports\daily_reports\daily_reports_screen.dart", "Dart", 1, -1, 0, 0
"d:\Flutter\old_version\lib\view\reports\daily_reports\general_ledger\general_ledger_table.dart", "Dart", 13, -5, 0, 8
"d:\Flutter\old_version\lib\view\reports\daily_reports\trial_balance\trial_balance_table.dart", "Dart", -2, 0, 0, -2
"Total", "-", 14, -363, -32, -381
